etichetta,categoria,n_pacchetti,MB_totali,durata_sec,dim_std,rapporto_down_up,perc_pacchetti_pesanti,iat_medio_ms,n_pause_lunghe
calcolatrice_1,Download,7180,7.64,16.34,539.0,24.23,75.7,2.277,2
calcolatrice_2,Download,5923,7.07,12.52,430.6,51.54,87.4,2.115,5
calcolatrice_3,Download,5883,7.07,8.6,416.2,52.71,87.9,1.462,3
calcolatrice_4,Download,10362,10.02,39.07,602.2,20.1,69.3,3.771,5
calcolatrice_5,Download,8049,8.54,61.55,551.5,31.41,77.2,7.648,28
calcolatrice_6,Download,8429,8.42,30.72,588.6,25.19,71.9,3.645,7
canva_1,Download,89296,92.58,189.6,567.4,28.79,75.3,2.123,4
canva_2,Download,72518,76.94,122.86,552.5,38.11,77.3,1.694,4
canva_3,Download,54980,65.56,51.96,432.5,104.48,87.3,0.945,7
canva_4,Download,74395,75.99,133.82,577.8,38.94,73.9,1.799,7
canva_5,Download,49946,63.82,20.94,301.9,258.93,94.2,0.419,6
canva_6,Download,51347,64.61,19.93,337.7,167.27,92.6,0.388,7
corriere_1,Download,20139,24.55,37.76,396.4,77.45,89.3,1.875,14
corriere_2,Download,19849,24.71,33.56,359.5,121.27,91.6,1.691,14
corriere_3,Download,21094,25.87,31.67,386.4,101.44,89.9,1.501,11
corriere_4,Download,19289,24.09,26.41,353.3,115.92,92.0,1.369,10
corriere_5,Download,19315,24.01,28.37,361.9,97.09,91.3,1.469,9
corriere_6,Download,19746,24.01,29.76,402.5,95.75,89.3,1.507,10
disney_1,Download,91462,117.57,27.66,285.3,287.03,94.8,0.302,11
disney_2,Download,97016,119.98,23.81,368.1,92.76,90.8,0.245,0
disney_3,Download,92741,118.95,20.14,292.9,303.77,94.6,0.217,6
disney_4,Download,90619,116.64,15.96,282.9,352.98,95.0,0.176,4
disney_5,Download,91865,117.71,17.62,294.1,316.11,94.4,0.192,4
disney_6,Download,91140,117.03,20.96,289.5,295.44,94.8,0.23,6
genshin_1,Download,680902,878.32,875.05,276.5,394.13,95.3,1.285,670
hayday_1,Download,119644,152.79,901.07,303.0,276.7,94.7,7.531,707
