app,etichetta,n_pacchetti,MB_totali,durata_sec,velocita_media_KB_s,dim_pacchetto_media,dim_pacchetto_min,dim_pacchetto_max
Calcolatrice,calcolatrice_1,7180,7.64,16.34,478.54,1115.5,42,1414
Calcolatrice,calcolatrice_2,5923,7.07,12.52,578.0,1251.6,54,1414
Calcolatrice,calcolatrice_3,5883,7.07,8.6,842.08,1260.7,54,1414
Calcolatrice,calcolatrice_4,10362,10.02,39.07,262.63,1014.0,42,1414
Calcolatrice,calcolatrice_5,8049,8.54,61.55,142.09,1112.7,42,1463
Calcolatrice,calcolatrice_6,8429,8.42,30.72,280.67,1047.4,42,1463
Canva,canva_1,89296,92.58,189.6,499.99,1087.1,42,1414
Canva,canva_2,72518,76.94,122.86,641.32,1112.6,42,1414
Canva,canva_3,54980,65.56,51.96,1292.02,1250.3,42,1463
Canva,canva_4,74395,75.99,133.82,581.48,1071.1,42,1414
Canva,canva_5,49946,63.82,20.94,3120.36,1339.9,42,1414
Canva,canva_6,51347,64.61,19.93,3319.61,1319.5,42,1414
Corriere della Sera,corriere_1,20139,24.55,37.76,665.62,1278.0,42,1463
Corriere della Sera,corriere_2,19849,24.71,33.56,753.86,1305.4,42,1463
Corriere della Sera,corriere_3,21094,25.87,31.67,836.5,1285.9,42,1463
Corriere della Sera,corriere_4,19289,24.09,26.41,934.13,1309.5,42,1463
Corriere della Sera,corriere_5,19315,24.01,28.37,866.74,1303.6,54,1463
Corriere della Sera,corriere_6,19746,24.01,29.76,826.28,1275.0,42,1463
Disney+,disney_1,91462,117.57,27.66,4352.95,1347.9,54,1414
Disney+,disney_2,97016,119.98,23.81,5160.97,1296.8,42,1463
Disney+,disney_3,92741,118.95,20.14,6048.42,1344.9,42,1414
Disney+,disney_4,90619,116.64,15.96,7486.06,1349.7,42,1414
Disney+,disney_5,91865,117.71,17.62,6842.39,1343.5,42,1446
Disney+,disney_6,91140,117.03,20.96,5716.99,1346.4,42,1414
Genshin Impact (parziale),genshin_1,680902,878.32,875.05,1027.83,1352.6,42,1463
Hay Day (parziale),hayday_1,119644,152.79,901.07,173.63,1339.1,42,1414
IKEA,ikea_1,69119,88.71,18.86,4816.25,1345.8,54,1414
IKEA,ikea_2,69021,88.68,13.85,6558.44,1347.3,42,1414
IKEA,ikea_3,69212,88.87,20.94,4345.8,1346.4,42,1414
IKEA,ikea_4,69184,88.87,19.1,4764.07,1346.9,42,1414
IKEA,ikea_5,69382,88.85,21.21,4289.02,1342.9,42,1414
IKEA,ikea_6,69143,88.88,13.27,6857.22,1347.9,42,1414
Shazam,shazam_1,15754,18.96,36.92,525.94,1262.1,42,1463
Shazam,shazam_2,17357,21.29,23.72,919.28,1286.3,42,1463
Shazam,shazam_3,18926,21.57,34.49,640.3,1195.0,42,1414
Shazam,shazam_4,18622,22.96,34.27,686.06,1293.0,42,1463
Shazam,shazam_5,15437,19.06,23.78,820.59,1294.5,42,1463
Shazam,shazam_6,15540,18.88,32.66,591.82,1273.8,42,1463
Trivago,trivago_1,29595,35.72,32.46,1126.91,1265.5,20,1414
Trivago,trivago_2,28709,35.54,22.06,1649.43,1297.9,42,1414
Trivago,trivago_3,28326,35.39,20.76,1746.17,1310.2,54,1463
Trivago,trivago_4,28355,35.41,24.7,1468.01,1309.5,42,1463
Trivago,trivago_5,32870,40.97,26.62,1575.92,1306.9,42,1463
Trivago,trivago_6,33533,41.76,22.54,1896.76,1305.8,42,1463
UPS,ups_1,59615,76.3,20.03,3900.88,1342.1,42,1463
UPS,ups_2,60183,76.93,23.7,3323.79,1340.3,42,1463
UPS,ups_3,50328,64.47,21.92,3011.94,1343.3,54,1463
UPS,ups_4,50209,64.41,21.93,3007.9,1345.2,42,1463
UPS,ups_5,50297,64.46,30.34,2175.77,1343.9,42,1463
UPS,ups_6,64216,74.7,61.81,1237.47,1219.8,42,1463
Unieuro,unieuro_1,64532,82.53,36.25,2331.62,1341.1,42,1463
Unieuro,unieuro_2,65175,82.87,24.47,3468.26,1333.3,42,1463
Unieuro,unieuro_3,64220,82.34,30.61,2754.54,1344.4,42,1463
Unieuro,unieuro_4,64272,82.36,27.75,3039.24,1343.6,54,1463
Unieuro,unieuro_5,64409,82.52,36.8,2295.99,1343.4,42,1463
Unieuro,unieuro_6,64098,82.35,30.31,2782.45,1347.1,42,1463
