app,etichetta,n_pacchetti,MB_totali,durata_sec,velocita_media_KB_s,dim_pacchetto_media,dim_pacchetto_min,dim_pacchetto_max,upload_MB,download_MB,rapporto_down_up,perc_pacchetti_pesanti,iat_medio_ms,dim_std
Calcolatrice,calcolatrice_1,7180,7.64,16.34,478.54,1115.5,42,1414,0.3,7.34,24.23,75.7,2.277,539.0
Calcolatrice,calcolatrice_2,5923,7.07,12.52,578.0,1251.6,54,1414,0.13,6.93,51.54,87.4,2.115,430.6
Calcolatrice,calcolatrice_3,5883,7.07,8.6,842.08,1260.7,54,1414,0.13,6.94,52.71,87.9,1.462,416.2
Calcolatrice,calcolatrice_4,10362,10.02,39.07,262.63,1014.0,42,1414,0.47,9.54,20.1,69.3,3.771,602.2
Calcolatrice,calcolatrice_5,8049,8.54,61.55,142.09,1112.7,42,1463,0.26,8.28,31.41,77.2,7.648,551.5
Calcolatrice,calcolatrice_6,8429,8.42,30.72,280.67,1047.4,42,1463,0.32,8.1,25.19,71.9,3.645,588.6
Canva,canva_1,89296,92.58,189.6,499.99,1087.1,42,1414,3.11,89.44,28.79,75.3,2.123,567.4
Canva,canva_2,72518,76.94,122.86,641.32,1112.6,42,1414,1.97,74.95,38.11,77.3,1.694,552.5
Canva,canva_3,54980,65.56,51.96,1292.02,1250.3,42,1463,0.62,64.94,104.48,87.3,0.945,432.5
Canva,canva_4,74395,75.99,133.82,581.48,1071.1,42,1414,1.9,74.08,38.94,73.9,1.799,577.8
Canva,canva_5,49946,63.82,20.94,3120.36,1339.9,42,1414,0.25,63.58,258.93,94.2,0.419,301.9
Canva,canva_6,51347,64.61,19.93,3319.61,1319.5,42,1414,0.38,64.23,167.27,92.6,0.388,337.7
Corriere della Sera,corriere_1,20139,24.55,37.76,665.62,1278.0,42,1463,0.31,24.23,77.45,89.3,1.875,396.4
Corriere della Sera,corriere_2,19849,24.71,33.56,753.86,1305.4,42,1463,0.2,24.5,121.27,91.6,1.691,359.5
Corriere della Sera,corriere_3,21094,25.87,31.67,836.5,1285.9,42,1463,0.25,25.62,101.44,89.9,1.501,386.4
Corriere della Sera,corriere_4,19289,24.09,26.41,934.13,1309.5,42,1463,0.21,23.88,115.92,92.0,1.369,353.3
Corriere della Sera,corriere_5,19315,24.01,28.37,866.74,1303.6,54,1463,0.24,23.77,97.09,91.3,1.469,361.9
Corriere della Sera,corriere_6,19746,24.01,29.76,826.28,1275.0,42,1463,0.25,23.76,95.75,89.3,1.507,402.5
Disney+,disney_1,91462,117.57,27.66,4352.95,1347.9,54,1414,0.41,117.16,287.03,94.8,0.302,285.3
Disney+,disney_2,97016,119.98,23.81,5160.97,1296.8,42,1463,1.28,118.7,92.76,90.8,0.245,368.1
Disney+,disney_3,92741,118.95,20.14,6048.42,1344.9,42,1414,0.39,118.56,303.77,94.6,0.217,292.9
Disney+,disney_4,90619,116.64,15.96,7486.06,1349.7,42,1414,0.33,116.31,352.98,95.0,0.176,282.9
Disney+,disney_5,91865,117.71,17.62,6842.39,1343.5,42,1446,0.37,117.33,316.11,94.4,0.192,294.1
Disney+,disney_6,91140,117.03,20.96,5716.99,1346.4,42,1414,0.39,116.63,295.44,94.8,0.23,289.5
Genshin Impact (parziale),genshin_1,680902,878.32,875.05,1027.83,1352.6,42,1463,2.22,876.06,394.13,95.3,1.285,276.5
Hay Day (parziale),hayday_1,119644,152.79,901.07,173.63,1339.1,42,1414,0.55,152.21,276.7,94.7,7.531,303.0
IKEA,ikea_1,69119,88.71,18.86,4816.25,1345.8,54,1414,0.27,88.44,327.72,94.6,0.273,290.1
IKEA,ikea_2,69021,88.68,13.85,6558.44,1347.3,42,1414,0.26,88.42,341.06,94.8,0.201,287.8
IKEA,ikea_3,69212,88.87,20.94,4345.8,1346.4,42,1414,0.26,88.61,335.96,94.7,0.303,289.4
IKEA,ikea_4,69184,88.87,19.1,4764.07,1346.9,42,1414,0.27,88.6,326.77,94.8,0.276,288.0
IKEA,ikea_5,69382,88.85,21.21,4289.02,1342.9,42,1414,0.35,88.5,254.07,94.5,0.306,296.6
IKEA,ikea_6,69143,88.88,13.27,6857.22,1347.9,42,1414,0.27,88.6,322.23,94.9,0.192,287.4
Shazam,shazam_1,15754,18.96,36.92,525.94,1262.1,42,1463,0.26,18.7,71.28,88.1,2.344,416.4
Shazam,shazam_2,17357,21.29,23.72,919.28,1286.3,42,1463,0.24,21.05,87.33,90.3,1.367,386.9
Shazam,shazam_3,18926,21.57,34.49,640.3,1195.0,42,1414,0.33,21.24,64.81,83.2,1.823,489.0
Shazam,shazam_4,18622,22.96,34.27,686.06,1293.0,42,1463,0.2,22.76,114.78,90.7,1.841,378.9
Shazam,shazam_5,15437,19.06,23.78,820.59,1294.5,42,1463,0.17,18.89,111.65,90.7,1.541,375.1
Shazam,shazam_6,15540,18.88,32.66,591.82,1273.8,42,1463,0.21,18.66,87.13,89.1,2.102,403.3
Trivago,trivago_1,29595,35.72,32.46,1126.91,1265.5,20,1414,0.35,35.35,100.8,88.4,1.097,410.1
Trivago,trivago_2,28709,35.54,22.06,1649.43,1297.9,42,1414,0.3,35.24,119.42,90.6,0.768,366.6
Trivago,trivago_3,28326,35.39,20.76,1746.17,1310.2,54,1463,0.24,35.15,146.79,91.6,0.733,348.5
Trivago,trivago_4,28355,35.41,24.7,1468.01,1309.5,42,1463,0.24,35.17,146.31,91.6,0.871,350.5
Trivago,trivago_5,32870,40.97,26.62,1575.92,1306.9,42,1463,0.29,40.66,138.07,91.5,0.81,354.2
Trivago,trivago_6,33533,41.76,22.54,1896.76,1305.8,42,1463,0.31,41.45,135.52,91.3,0.672,354.8
UPS,ups_1,59615,76.3,20.03,3900.88,1342.1,42,1463,0.28,76.02,275.05,94.5,0.336,298.4
UPS,ups_2,60183,76.93,23.7,3323.79,1340.3,42,1463,0.27,76.65,278.86,94.3,0.394,301.9
UPS,ups_3,50328,64.47,21.92,3011.94,1343.3,54,1463,0.23,64.23,273.72,94.5,0.436,295.8
UPS,ups_4,50209,64.41,21.93,3007.9,1345.2,42,1463,0.22,64.19,296.24,94.7,0.437,291.7
UPS,ups_5,50297,64.46,30.34,2175.77,1343.9,42,1463,0.24,64.21,262.79,94.6,0.603,296.0
UPS,ups_6,64216,74.7,61.81,1237.47,1219.8,42,1463,0.93,73.77,79.51,85.0,0.963,465.0
Unieuro,unieuro_1,64532,82.53,36.25,2331.62,1341.1,42,1463,0.36,82.17,226.72,94.3,0.562,299.2
Unieuro,unieuro_2,65175,82.87,24.47,3468.26,1333.3,42,1463,0.36,82.5,227.07,93.7,0.375,314.4
Unieuro,unieuro_3,64220,82.34,30.61,2754.54,1344.4,42,1463,0.27,82.07,307.22,94.5,0.477,292.8
Unieuro,unieuro_4,64272,82.36,27.75,3039.24,1343.6,54,1463,0.28,82.08,291.69,94.5,0.432,294.4
Unieuro,unieuro_5,64409,82.52,36.8,2295.99,1343.4,42,1463,0.31,82.21,267.54,94.5,0.571,295.0
Unieuro,unieuro_6,64098,82.35,30.31,2782.45,1347.1,42,1463,0.27,82.07,302.96,94.8,0.473,288.3
